rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_lw,eta_dE,eta_lE50,data
10,1,-1.550416,-0.021264,0.010843,0.000000,-0.018066,0.000000,0.000000,-0.334736,0.079437,-0.518774,0.038099,0.000000,africa
1,2,2.811978,-0.022205,-0.014171,0.000000,0.011305,0.000000,0.000000,0.425001,-0.025394,-0.332271,-0.821912,0.000000,africa
2,2,0.665946,-0.004502,0.040800,0.000000,0.005707,0.000000,0.000000,-0.371965,-0.014907,-0.953492,0.568291,0.000000,africa
3,2,0.617130,0.001514,0.014400,0.000000,-0.008609,0.000000,0.000000,-0.534922,0.313425,-0.376032,0.750498,0.000000,africa
4,2,2.721269,-0.009115,-0.018968,0.000000,0.001788,0.000000,0.000000,-0.057345,0.084842,-0.039727,-0.234265,0.000000,africa
5,2,3.742363,0.003218,-0.020954,0.000000,0.003175,0.000000,0.000000,-0.005395,-0.046724,-0.029510,-0.602216,0.000000,africa
6,2,3.654638,0.004495,-0.027282,0.000000,-0.000567,0.000000,0.000000,-0.143820,0.093286,0.174104,-0.824166,0.000000,africa
7,2,3.683964,0.009262,-0.039244,0.000000,-0.005030,0.000000,0.000000,0.132496,0.122506,-0.042164,-0.866390,0.000000,africa
8,2,1.143566,-0.020737,-0.001826,0.000000,-0.002437,0.000000,0.000000,-0.188417,0.012438,-0.598750,-0.170699,0.000000,africa
9,2,0.813051,-0.009616,0.075846,0.000000,0.001500,0.000000,0.000000,0.502234,-0.272167,-0.540408,-0.320491,0.000000,africa
10,2,0.880745,-0.007644,-0.000501,0.000000,-0.005072,0.000000,0.000000,-0.532073,-0.091755,-0.153910,0.757499,0.000000,africa
1,3,0.751097,-0.020053,0.018855,0.000000,0.005230,0.000000,0.000000,-0.025446,0.343845,-0.601961,0.637351,0.000000,africa
