initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-2.79326,0.417647,0.0509853,0.417647,-4.67248,0.417647,0.601122,0.417647,-1.07236,0.417647,All
-2.78193,0.419608,0.0509914,0.419608,-4.67208,0.419608,0.602477,0.419608,-1.07231,0.419608,All
-2.7811,0.421569,0.0510147,0.421569,-4.67183,0.421569,0.604034,0.421569,-1.07205,0.421569,All
-2.78031,0.423529,0.0510224,0.423529,-4.67132,0.423529,0.605515,0.423529,-1.07148,0.423529,All
-2.77764,0.42549,0.0510409,0.42549,-4.6713,0.42549,0.605627,0.42549,-1.07113,0.42549,All
-2.77613,0.427451,0.0510647,0.427451,-4.67125,0.427451,0.606109,0.427451,-1.07069,0.427451,All
-2.77279,0.429412,0.0511012,0.429412,-4.67098,0.429412,0.606974,0.429412,-1.07065,0.429412,All
-2.77093,0.431373,0.051127,0.431373,-4.67048,0.431373,0.607658,0.431373,-1.07049,0.431373,All
-2.76921,0.433333,0.0511409,0.433333,-4.67031,0.433333,0.609528,0.433333,-1.06999,0.433333,All
-2.76867,0.435294,0.051188,0.435294,-4.66975,0.435294,0.609706,0.435294,-1.06984,0.435294,All
-2.76504,0.437255,0.0512663,0.437255,-4.66973,0.437255,0.610195,0.437255,-1.0698,0.437255,All
-2.76402,0.439216,0.0512698,0.439216,-4.66965,0.439216,0.612695,0.439216,-1.06979,0.439216,All
-2.76347,0.441176,0.0512732,0.441176,-4.66926,0.441176,0.613066,0.441176,-1.06953,0.441176,All
-2.75964,0.443137,0.0512898,0.443137,-4.66916,0.443137,0.616653,0.443137,-1.06946,0.443137,All
-2.75954,0.445098,0.051306,0.445098,-4.66891,0.445098,0.616906,0.445098,-1.06939,0.445098,All
-2.75731,0.447059,0.051312,0.447059,-4.66875,0.447059,0.618598,0.447059,-1.06929,0.447059,All
-2.75479,0.44902,0.0513951,0.44902,-4.66869,0.44902,0.61924,0.44902,-1.06861,0.44902,All
-2.75464,0.45098,0.051401,0.45098,-4.66863,0.45098,0.619809,0.45098,-1.0686,0.45098,All
-2.75379,0.452941,0.051428,0.452941,-4.66785,0.452941,0.623277,0.452941,-1.06849,0.452941,All
-2.75175,0.454902,0.0514482,0.454902,-4.66745,0.454902,0.625425,0.454902,-1.06827,0.454902,All
-2.75072,0.456863,0.0515048,0.456863,-4.66721,0.456863,0.627642,0.456863,-1.06798,0.456863,All
-2.75027,0.458824,0.051533,0.458824,-4.66717,0.458824,0.628338,0.458824,-1.06792,0.458824,All
-2.7488,0.460784,0.0515698,0.460784,-4.667,0.460784,0.628382,0.460784,-1.06719,0.460784,All
-2.74728,0.462745,0.0515744,0.462745,-4.66689,0.462745,0.628438,0.462745,-1.06658,0.462745,All
