iteration,convergenceIndicator,phase,a,aS_pop,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
141,1155.05,1,0.372643,1.57629,2.22643,0.000936428,-10.952,-4.61588,0.0858471,0.756354,0.587984,4.11141,0.303846,0.67428
142,1138.71,1,0.367941,1.57839,2.22771,0.000925375,-10.8582,-4.61398,0.087641,0.740957,0.586573,4.13395,0.308975,0.668001
143,1138.15,1,0.369502,1.57769,2.21331,0.000921027,-10.6066,-4.61368,0.0913995,0.730745,0.593019,4.02928,0.310472,0.65448
144,1118.02,1,0.364004,1.57774,2.21928,0.000916406,-10.6177,-4.60858,0.0903318,0.748524,0.580192,4.00728,0.313144,0.637908
145,1122.1,1,0.36454,1.57641,2.26489,0.000931165,-10.824,-4.61816,0.0902739,0.736215,0.577438,4.18798,0.305215,0.652392
146,1117.46,1,0.363111,1.58006,2.26843,0.000933771,-10.8481,-4.62153,0.0899539,0.75081,0.568569,4.28571,0.297487,0.66071
147,1109.97,1,0.361981,1.57354,2.30243,0.000921168,-11.0001,-4.62689,0.0885887,0.736132,0.577047,4.29129,0.295949,0.64398
148,1112.16,1,0.361037,1.57438,2.27781,0.000927417,-11.1494,-4.62874,0.0868313,0.73925,0.582788,4.37131,0.299958,0.642413
149,1119.47,1,0.364421,1.57235,2.24667,0.000923888,-11.1264,-4.63026,0.0859819,0.720532,0.58348,4.28749,0.301989,0.635488
150,1116.9,1,0.362132,1.57827,2.28237,0.000919237,-11.1946,-4.63457,0.0905122,0.718784,0.586653,4.41643,0.302822,0.649001
151,1108.56,1,0.35902,1.57644,2.24249,0.000942062,-11.1961,-4.62612,0.0903695,0.700584,0.577419,4.92004,0.304219,0.632568
152,1118.29,1,0.363745,1.57679,2.28208,0.000937487,-11.1736,-4.62983,0.0887301,0.690234,0.577232,4.79546,0.296516,0.639989
153,1113.32,1,0.363309,1.57911,2.29696,0.000955281,-11.2922,-4.6267,0.0888247,0.686302,0.564664,4.67403,0.299597,0.643145
154,1131.51,1,0.367709,1.58801,2.27259,0.000958662,-11.2309,-4.62559,0.0880996,0.704935,0.565077,4.55569,0.298364,0.664285
155,1114.1,1,0.363862,1.58765,2.18666,0.000987372,-11.5941,-4.63092,0.0906405,0.687085,0.557838,4.60219,0.297276,0.659424
156,1106.71,1,0.3642,1.59073,2.1744,0.000987613,-11.4083,-4.63068,0.0914409,0.669688,0.543713,4.48566,0.296591,0.670176
157,1118.64,1,0.363727,1.59383,2.2269,0.000975744,-11.7023,-4.63116,0.089712,0.68588,0.539514,4.63839,0.296545,0.690841
158,1132.18,1,0.36271,1.59173,2.20458,0.000966311,-11.8905,-4.63274,0.0891901,0.716573,0.563725,4.90012,0.298939,0.70792
159,1129.29,1,0.361896,1.59267,2.2134,0.000987622,-11.9317,-4.63793,0.0876775,0.731411,0.560124,4.83529,0.293321,0.720983
160,1111.01,1,0.357399,1.59477,2.20826,0.000992338,-11.8388,-4.64222,0.0898567,0.743696,0.568738,4.71286,0.289922,0.72032
161,1129.1,1,0.363254,1.59419,2.22692,0.00098987,-11.8927,-4.63938,0.0886045,0.737328,0.570693,4.70193,0.292191,0.702081
162,1111.74,1,0.360487,1.59651,2.20945,0.00100197,-11.6815,-4.63594,0.0900466,0.73654,0.560141,4.58288,0.291168,0.684304
163,1124.49,1,0.362828,1.59673,2.24375,0.000969708,-11.7604,-4.62749,0.0881848,0.733589,0.583788,4.59856,0.292398,0.669703
164,1107.49,1,0.361012,1.60031,2.26018,0.000974732,-11.4939,-4.63132,0.0892497,0.717628,0.584276,4.48212,0.288164,0.680086
165,1118.58,1,0.364187,1.60406,2.28614,0.000978309,-11.461,-4.62235,0.0898413,0.710018,0.588954,4.36863,0.292058,0.687121
166,1127.56,1,0.365791,1.59929,2.37504,0.000964488,-11.4509,-4.6245,0.0882865,0.729864,0.606206,4.25801,0.292975,0.679189
