initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-0.730609,0.229412,-0.648142,0.229412,-0.71163,0.229412,-0.707578,0.229412,-0.741804,0.229412,-0.535758,0.229412,-0.832192,0.229412,-0.939888,0.229412,All
-0.726015,0.231373,-0.638137,0.231373,-0.706029,0.231373,-0.698509,0.231373,-0.738751,0.231373,-0.53131,0.231373,-0.81781,0.231373,-0.935818,0.231373,All
-0.717731,0.233333,-0.637809,0.233333,-0.697646,0.233333,-0.693072,0.233333,-0.73745,0.233333,-0.51092,0.233333,-0.8112,0.233333,-0.920017,0.233333,All
-0.712357,0.235294,-0.618629,0.235294,-0.679088,0.235294,-0.689758,0.235294,-0.733251,0.235294,-0.509049,0.235294,-0.799697,0.235294,-0.917152,0.235294,All
-0.707431,0.237255,-0.614071,0.237255,-0.6776,0.237255,-0.684173,0.237255,-0.727605,0.237255,-0.476768,0.237255,-0.798,0.237255,-0.915684,0.237255,All
-0.705136,0.239216,-0.613516,0.239216,-0.668511,0.239216,-0.681098,0.239216,-0.724448,0.239216,-0.471888,0.239216,-0.797712,0.239216,-0.913941,0.239216,All
-0.697946,0.241176,-0.612914,0.241176,-0.660522,0.241176,-0.676177,0.241176,-0.721948,0.241176,-0.470688,0.241176,-0.796428,0.241176,-0.896356,0.241176,All
-0.683182,0.243137,-0.611979,0.243137,-0.657046,0.243137,-0.675436,0.243137,-0.721366,0.243137,-0.46611,0.243137,-0.796012,0.243137,-0.881237,0.243137,All
-0.683166,0.245098,-0.595587,0.245098,-0.6485,0.245098,-0.674188,0.245098,-0.716725,0.245098,-0.460549,0.245098,-0.788809,0.245098,-0.872115,0.245098,All
-0.673881,0.247059,-0.59355,0.247059,-0.636076,0.247059,-0.660657,0.247059,-0.716623,0.247059,-0.46001,0.247059,-0.779797,0.247059,-0.864875,0.247059,All
-0.671714,0.24902,-0.588389,0.24902,-0.618485,0.24902,-0.656071,0.24902,-0.711953,0.24902,-0.459433,0.24902,-0.770768,0.24902,-0.863641,0.24902,All
-0.671555,0.25098,-0.582121,0.25098,-0.615127,0.25098,-0.655506,0.25098,-0.705614,0.25098,-0.445932,0.25098,-0.765762,0.25098,-0.856696,0.25098,All
