rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,dI_simulated,w_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,data,split,color,filter
4,47,-2.37435,2.49187,0.462245,0.00179571,-5.0322,-0.012934,-2.99573,0,-4.04978,0.0208231,4.6,0,thai,All,#4682B4,0
5,47,-3.36708,1.49914,0.35649,-0.10396,-4.81092,0.208344,-2.99573,0,-4.01163,0.0589694,4.6,0,thai,All,#4682B4,0
6,47,-4.23491,0.631305,0.557646,0.0971967,-5.01851,0.000758324,-2.99573,0,-4.1622,-0.0916008,4.6,0,thai,All,#4682B4,0
7,47,-2.93546,1.93076,0.504855,0.0444055,-5.0609,-0.04163,-2.99573,0,-4.18859,-0.117991,4.6,0,thai,All,#4682B4,0
8,47,-2.56793,2.29829,0.483702,0.0232531,-5.06852,-0.0492494,-2.99573,0,-4.14241,-0.0718132,4.6,0,thai,All,#4682B4,0
9,47,-3.46911,1.39711,0.418997,-0.0414519,-5.07882,-0.0595534,-2.99573,0,-4.15236,-0.0817634,4.6,0,thai,All,#4682B4,0
10,47,-2.8368,2.02941,0.484775,0.0243252,-5.10363,-0.0843631,-2.99573,0,-4.12105,-0.0504467,4.6,0,thai,All,#4682B4,0
1,48,-1.80875,3.05747,0.445992,-0.0144573,-5.0687,-0.0494349,-2.99573,0,-4.07775,-0.00714879,4.6,0,thai,All,#4682B4,0
2,48,-5.58229,-0.716076,0.42445,-0.0359998,-5.10626,-0.0869923,-2.99573,0,-4.1362,-0.0655976,4.6,0,thai,All,#4682B4,0
3,48,-4.64185,0.224365,0.481838,0.0213885,-4.74452,0.274751,-2.99573,0,-4.08231,-0.0117148,4.6,0,thai,All,#4682B4,0
4,48,-5.47073,-0.60451,0.412068,-0.0483811,-4.94766,0.0716037,-2.99573,0,-4.13902,-0.0684235,4.6,0,thai,All,#4682B4,0
5,48,-6.84595,-1.97973,0.47692,0.0164705,-4.98722,0.0320427,-2.99573,0,-4.22694,-0.156342,4.6,0,thai,All,#4682B4,0
6,48,-3.48739,1.37883,0.465177,0.00472745,-4.95277,0.0664934,-2.99573,0,-4.15486,-0.0842627,4.6,0,thai,All,#4682B4,0
7,48,-2.72935,2.13687,0.421961,-0.0384882,-5.02849,-0.00921854,-2.99573,0,-4.10482,-0.0342199,4.6,0,thai,All,#4682B4,0
8,48,-3.98063,0.885585,0.461462,0.00101307,-4.89988,0.119391,-2.99573,0,-4.14178,-0.0711811,4.6,0,thai,All,#4682B4,0
9,48,-4.65953,0.206689,0.325617,-0.134833,-5.02397,-0.00470148,-2.99573,0,-4.1351,-0.0645042,4.6,0,thai,All,#4682B4,0
10,48,-3.12972,1.73649,0.475378,0.0149282,-5.03984,-0.0205712,-2.99573,0,-4.11111,-0.0405067,4.6,0,thai,All,#4682B4,0
1,49,-0.600371,4.26585,0.576676,0.116226,-4.9603,0.0589713,-2.99573,0,-4.05883,0.0117701,4.6,0,thai,All,#4682B4,0
2,49,-0.885049,3.98117,0.456405,-0.00404413,-5.02504,-0.0057682,-2.99573,0,-4.03803,0.0325673,4.6,0,thai,All,#4682B4,0
3,49,-1.31965,3.54657,0.429016,-0.031433,-4.98189,0.0373782,-2.99573,0,-4.04527,0.0253282,4.6,0,thai,All,#4682B4,0
4,49,-0.154009,4.71221,0.516023,0.0555737,-4.98412,0.035147,-2.99573,0,-4.04691,0.0236876,4.6,0,thai,All,#4682B4,0
5,49,-0.825639,4.04058,0.578489,0.11804,-4.89677,0.122494,-2.99573,0,-4.04638,0.0242232,4.6,0,thai,All,#4682B4,0
6,49,-0.646097,4.22012,0.398675,-0.0617747,-4.87614,0.143128,-2.99573,0,-3.98174,0.0888605,4.6,0,thai,All,#4682B4,0
7,49,-0.942895,3.92332,0.47531,0.0148608,-5.00305,0.0162216,-2.99573,0,-4.07091,-0.000312345,4.6,0,thai,All,#4682B4,0
8,49,-1.37238,3.49383,0.457208,-0.00324108,-4.94952,0.0697482,-2.99573,0,-4.03558,0.0350188,4.6,0,thai,All,#4682B4,0
9,49,-0.575951,4.29027,0.416458,-0.0439913,-4.91487,0.104397,-2.99573,0,-3.96739,0.103214,4.6,0,thai,All,#4682B4,0
10,49,-0.614798,4.25142,0.412859,-0.0475904,-5.20801,-0.188747,-2.99573,0,-4.11066,-0.0400622,4.6,0,thai,All,#4682B4,0
1,50,-1.06343,3.80279,0.489635,0.0291857,-4.88915,0.130122,-2.99573,0,-4.02561,0.04499,4.6,0,thai,All,#4682B4,0
2,50,-1.09208,3.77414,0.463271,0.00282154,-4.87754,0.141727,-2.99573,0,-4.00793,0.0626717,4.6,0,thai,All,#4682B4,0
3,50,-1.65449,3.21173,0.504136,0.0436869,-4.97064,0.0486283,-2.99573,0,-4.10854,-0.037944,4.6,0,thai,All,#4682B4,0
4,50,-0.602629,4.26359,0.442109,-0.01834,-5.06832,-0.0490573,-2.99573,0,-4.02419,0.0464055,4.6,0,thai,All,#4682B4,0
5,50,-1.04974,3.81648,0.466007,0.00555791,-4.84566,0.173609,-2.99573,0,-4.07332,-0.00272381,4.6,0,thai,All,#4682B4,0
6,50,-1.73619,3.13003,0.485445,0.0249954,-5.03535,-0.0160866,-2.99573,0,-4.18285,-0.112253,4.6,0,thai,All,#4682B4,0
7,50,-1.02538,3.84084,0.437416,-0.0230333,-5.02175,-0.00248777,-2.99573,0,-4.08251,-0.01191,4.6,0,thai,All,#4682B4,0
8,50,-0.415167,4.45105,0.427823,-0.0326266,-5.10244,-0.0831705,-2.99573,0,-3.971,0.099601,4.6,0,thai,All,#4682B4,0
9,50,-0.970038,3.89618,0.504204,0.0437542,-5.00542,0.0138436,-2.99573,0,-4.01518,0.0554219,4.6,0,thai,All,#4682B4,0
10,50,-1.22375,3.64247,0.40997,-0.050479,-4.99367,0.0255942,-2.99573,0,-4.04209,0.0285113,4.6,0,thai,All,#4682B4,0
1,51,-3.78977,1.07645,0.405084,-0.0553649,-5.07467,-0.055405,-2.99573,0,-4.10397,-0.0333715,4.6,0,thai,All,#4682B4,0
2,51,-8.71163,-3.84541,0.357257,-0.103192,-4.8037,0.215563,-2.99573,0,-4.08384,-0.0132416,4.6,0,thai,All,#4682B4,0
3,51,-5.78952,-0.923303,0.438845,-0.0216046,-4.98383,0.0354324,-2.99573,0,-4.17896,-0.108363,4.6,0,thai,All,#4682B4,0
4,51,-6.58449,-1.71828,0.517115,0.0566658,-5.11082,-0.0915572,-2.99573,0,-4.17056,-0.0999653,4.6,0,thai,All,#4682B4,0
5,51,-4.23854,0.627677,0.4563,-0.00414914,-4.99227,0.0269937,-2.99573,0,-4.06937,0.00123398,4.6,0,thai,All,#4682B4,0
6,51,-5.89708,-1.03086,0.508236,0.0477863,-4.90064,0.118623,-2.99573,0,-4.0895,-0.0189049,4.6,0,thai,All,#4682B4,0
7,51,-5.95209,-1.08587,0.504375,0.0439253,-4.89766,0.121604,-2.99573,0,-4.14759,-0.0769895,4.6,0,thai,All,#4682B4,0
8,51,-7.93016,-3.06394,0.442857,-0.0175927,-4.98702,0.0322457,-2.99573,0,-4.14432,-0.0737167,4.6,0,thai,All,#4682B4,0
9,51,-5.99362,-1.1274,0.381786,-0.0786634,-5.01623,0.00303488,-2.99573,0,-4.11121,-0.0406066,4.6,0,thai,All,#4682B4,0
10,51,-6.28078,-1.41456,0.598894,0.138445,-4.86583,0.153434,-2.99573,0,-4.14065,-0.0700461,4.6,0,thai,All,#4682B4,0
