iteration,convergenceIndicator,phase,a,corr_lBt0_dS,dS_pop,initT_pop,lBt0_pop,lI50_pop,lk_pop,lw_pop,omega_dS,omega_lBt0,omega_lI50,omega_lw
158,796.747,1,0.66384,0.801313,0.0725751,-2.14555,-4.48145,-1.06263,-1.31902,0.602275,0.208501,0.126925,0.0466003,0.204818
159,806.358,1,0.662388,0.860883,0.072441,-2.15574,-4.48144,-1.06312,-1.32185,0.59737,0.245709,0.139697,0.0454203,0.199632
160,793.139,1,0.664688,0.83214,0.0721076,-2.14206,-4.48818,-1.05864,-1.32482,0.609738,0.239488,0.13616,0.0442703,0.194577
161,785.111,1,0.667971,0.836873,0.0713743,-2.10841,-4.49042,-1.05875,-1.32773,0.623876,0.237457,0.132712,0.0472738,0.189871
162,788.965,1,0.651057,0.863696,0.071366,-2.14255,-4.48674,-1.06357,-1.32566,0.619135,0.232525,0.134293,0.0514628,0.200215
163,805.704,1,0.661289,0.875317,0.0709923,-2.15643,-4.49693,-1.07232,-1.32812,0.631188,0.249833,0.134963,0.0501597,0.195512
164,802.273,1,0.668305,0.883806,0.069486,-2.15153,-4.50432,-1.06936,-1.32799,0.624673,0.247199,0.137579,0.0488897,0.203825
165,781.391,1,0.667583,0.901763,0.0710946,-2.15957,-4.49699,-1.07231,-1.31787,0.615025,0.269915,0.143408,0.0476517,0.215672
166,792.98,1,0.666542,0.899978,0.0717038,-2.14955,-4.48806,-1.06479,-1.32456,0.612381,0.26308,0.139777,0.0481756,0.223211
167,805.321,1,0.65895,0.915072,0.0712517,-2.16112,-4.50027,-1.06853,-1.32689,0.618793,0.258098,0.151242,0.0518067,0.217559
168,820.345,1,0.669582,0.87259,0.069883,-2.16032,-4.50073,-1.05924,-1.33246,0.619456,0.251563,0.147412,0.0504949,0.21205
169,785.493,1,0.652627,0.872208,0.0694807,-2.16684,-4.50666,-1.07924,-1.32563,0.631559,0.259775,0.151705,0.0509565,0.206681
170,791.035,1,0.656614,0.907886,0.0674853,-2.19756,-4.51543,-1.06294,-1.32951,0.624596,0.278744,0.163086,0.0510544,0.201448
171,787.64,1,0.650486,0.929911,0.0677707,-2.182,-4.51312,-1.06316,-1.32887,0.614972,0.288323,0.170063,0.0497617,0.201906
172,815.326,1,0.672178,0.928258,0.0673177,-2.19964,-4.51762,-1.06285,-1.32186,0.620321,0.296334,0.166277,0.0485017,0.199209
173,832.591,1,0.655931,0.870262,0.0660497,-2.24326,-4.52665,-1.06632,-1.32534,0.60429,0.288831,0.163683,0.0530394,0.221299
174,773.842,1,0.643352,0.897289,0.0650825,-2.29988,-4.53271,-1.07021,-1.32457,0.609005,0.281517,0.159539,0.0516964,0.215696
175,767.615,1,0.650969,0.932195,0.0635954,-2.28769,-4.54873,-1.07402,-1.32172,0.612427,0.295385,0.169408,0.0503874,0.210234
176,776.144,1,0.646669,0.93281,0.0646254,-2.27137,-4.53801,-1.07715,-1.31423,0.607788,0.287906,0.165867,0.0491115,0.223822
177,797.215,1,0.669924,0.933196,0.0631825,-2.26256,-4.55035,-1.07715,-1.3186,0.610443,0.280616,0.166613,0.047868,0.218155
178,812.923,1,0.664158,0.918858,0.0626603,-2.23528,-4.55133,-1.07434,-1.31963,0.619236,0.273511,0.172263,0.046656,0.212631
179,759.706,1,0.663509,0.933764,0.0602859,-2.20361,-4.57156,-1.07342,-1.31963,0.601412,0.266824,0.167901,0.0454746,0.207247
180,758.074,1,0.648893,0.929296,0.0601873,-2.18579,-4.56131,-1.07336,-1.3244,0.611611,0.270134,0.180734,0.0443232,0.202
181,775.506,1,0.645133,0.878518,0.0571051,-2.13045,-4.58203,-1.06336,-1.32259,0.602049,0.263294,0.176157,0.0462045,0.208822
182,751.103,1,0.640202,0.892479,0.0556547,-2.10064,-4.58918,-1.06248,-1.32862,0.623865,0.256628,0.171697,0.0450345,0.203534
183,774.392,1,0.638998,0.903645,0.057025,-2.07243,-4.58049,-1.06191,-1.32966,0.614202,0.273654,0.181525,0.0438942,0.208578
184,828.571,1,0.664643,0.918949,0.0566467,-2.07912,-4.5786,-1.06369,-1.33044,0.620847,0.297976,0.197569,0.0427828,0.203296
