iteration,convergenceIndicator,phase,a,aS_pop,b,dI_pop,dS_pop,initT_pop,lBt0_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_w,w_pop
135,1205.21,1,0.11359,1.5751,2.22045e-16,0.898177,0.00641984,-5.43989,-4.09173,0.123576,2.41361,0.123351,3.54644,0.08317,0.723606,0.0873483
136,1184.83,1,0.11504,1.58406,2.22045e-16,0.891481,0.00636825,-5.33127,-4.09526,0.120447,2.3525,0.120228,3.45664,0.0835053,0.705284,0.0867173
137,1212.07,1,0.117165,1.57344,2.22045e-16,0.890669,0.00641464,-5.40313,-4.07859,0.117397,2.32204,0.117183,3.47685,0.086738,0.687426,0.0929438
138,1205.5,1,0.118335,1.56953,2.22045e-16,0.859634,0.00636945,-5.57098,-4.08825,0.114424,2.28362,0.114216,3.56386,0.0845417,0.67002,0.086635
139,1207.71,1,0.116783,1.56489,2.22045e-16,0.865992,0.00638737,-5.72447,-4.0873,0.124324,2.22579,0.111324,3.7835,0.0824011,0.653055,0.0857958
140,1193.52,1,0.114039,1.57959,2.22045e-16,0.858433,0.00634505,-5.59122,-4.08723,0.121946,2.34579,0.110902,3.6877,0.0850029,0.636519,0.0837409
141,1179.81,1,0.113811,1.57254,2.22045e-16,0.813278,0.00627827,-5.88072,-4.099,0.118858,2.2864,0.108094,3.90071,0.0891804,0.620402,0.079409
142,1148.33,1,0.112503,1.54631,2.22045e-16,0.833827,0.00625465,-5.52491,-4.08792,0.121976,2.2285,0.105357,3.80194,0.0869223,0.604693,0.0755734
143,1115.21,1,0.11299,1.55051,2.22045e-16,0.781153,0.00625499,-5.18827,-4.09238,0.118888,2.17208,0.102689,3.70567,0.0879344,0.589382,0.0724157
144,1152.26,1,0.116825,1.56337,2.22045e-16,0.769713,0.00618606,-5.36741,-4.09884,0.115877,2.11708,0.100395,3.61184,0.0893827,0.651071,0.0810987
145,1183.81,1,0.115519,1.5301,2.22045e-16,0.750218,0.00624561,-4.99874,-4.08819,0.112943,2.06347,0.112659,3.52039,0.0937132,0.781575,0.0786499
146,1160.72,1,0.113732,1.53648,2.22045e-16,0.786267,0.00618051,-5.45895,-4.09317,0.111705,2.01123,0.109807,3.43125,0.0913404,0.761785,0.0891094
147,1185.97,1,0.114503,1.51964,2.22045e-16,0.793974,0.00624784,-5.5174,-4.09447,0.12337,1.9603,0.107026,3.34437,0.0919746,0.742496,0.0935813
148,1198.33,1,0.114858,1.52753,2.22045e-16,0.756669,0.00629968,-5.20918,-4.09965,0.125123,1.91066,0.125518,3.25969,0.0956685,0.746313,0.0887613
149,1161.73,1,0.11438,1.51113,2.22045e-16,0.801298,0.00629844,-5.72833,-4.09088,0.121955,1.86229,0.126973,3.17715,0.0932461,0.727416,0.0812445
150,1177.77,1,0.115741,1.51542,2.22045e-16,0.812924,0.00652056,-5.50969,-4.0816,0.118867,1.91149,0.123758,3.0967,0.0927154,0.708997,0.0890414
151,1170.12,1,0.116709,1.50525,2.22045e-16,0.80308,0.00636512,-5.71327,-4.08452,0.115857,1.86309,0.136737,3.06955,0.0903678,0.691045,0.088259
152,1183.94,1,0.117011,1.50608,2.22045e-16,0.834169,0.00631267,-5.67774,-4.10128,0.112924,2.06724,0.133274,2.99183,0.0906765,0.673547,0.0818365
153,1207.65,1,0.119228,1.53221,2.22045e-16,0.836439,0.00623641,-5.5241,-4.09809,0.110064,2.01489,0.140759,3.03502,0.092718,0.656493,0.0843765
