initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-7.16291,0.783673,0.00172369,0.783673,-4.27011,0.781633,4.3357,0.781633,0.16718,0.781633,All
-7.13083,0.785714,0.0017286,0.785714,-4.26871,0.783673,4.35554,0.783673,0.167749,0.783673,All
-7.10666,0.787755,0.00174157,0.787755,-4.26689,0.785714,4.35658,0.785714,0.16788,0.785714,All
-7.10031,0.789796,0.00175,0.789796,-4.26245,0.787755,4.36553,0.787755,0.168173,0.787755,All
-7.01464,0.791837,0.00176111,0.791837,-4.2624,0.789796,4.37905,0.789796,0.168197,0.789796,All
-6.99533,0.793878,0.00176895,0.793878,-4.22816,0.791837,4.38926,0.791837,0.16901,0.791837,All
-6.94186,0.795918,0.00179252,0.795918,-4.22809,0.793878,4.40085,0.793878,0.169274,0.793878,All
-6.93755,0.797959,0.00185546,0.797959,-4.22591,0.795918,4.40841,0.795918,0.169746,0.795918,All
-6.93279,0.8,0.00187339,0.8,-4.21749,0.797959,4.41803,0.797959,0.17058,0.797959,All
-6.91949,0.802041,0.00187545,0.802041,-4.20835,0.8,4.42745,0.8,0.170687,0.8,All
-6.91824,0.804082,0.001884,0.804082,-4.20397,0.802041,4.45167,0.802041,0.171255,0.802041,All
-6.9171,0.806122,0.00189139,0.806122,-4.20124,0.804082,4.45642,0.804082,0.171272,0.804082,All
-6.90619,0.808163,0.0018937,0.808163,-4.19298,0.806122,4.50856,0.806122,0.17201,0.806122,All
-6.89427,0.810204,0.00192917,0.810204,-4.19198,0.808163,4.57933,0.808163,0.174762,0.808163,All
-6.81414,0.812245,0.00197039,0.812245,-4.18964,0.810204,4.61049,0.810204,0.175208,0.810204,All
-6.78487,0.814286,0.00199379,0.814286,-4.18393,0.812245,4.63174,0.812245,0.175677,0.812245,All
-6.77361,0.816327,0.00199821,0.816327,-4.17915,0.814286,4.65634,0.814286,0.176307,0.814286,All
